Conversation ID,Conversation Name,Sentence Rule,Keyword Rule,Message
FAQ01-000001,FAQ01-000001 - Apple,รับประกัน&&iPhone|รับประกัน&&iPad|รับประกัน&&Apple|warranty&&iPhone|warranty&&iPad|warranty&&Apple,ประกัน&&iphone|ประกัน&&Ipad|ประกัน&&Apple|ประกัน&&ไอโฟน|ประกัน&&ไอแพต|ประกัน&&ไอแพด|ประกัน&&ไอแพท|ประกัน&&แอปเปิ้ล|ประกัน&&แอปเปิล|ประกัน&&แอบเปิ้ล|ประกัน&&แอบเปิล|เงื่อนไข&&iphone|เงื่อนไข&&Ipad|เงื่อนไข&&Apple|เงื่อนไข&&ไอโฟน|เงื่อนไข&&ไอแพต|เงื่อนไข&&ไอแพด|เงื่อนไข&&ไอแพท|เงื่อนไข&&แอปเปิ้ล|เงื่อนไข&&แอปเปิล|เงื่อนไข&&แอบเปิ้ล|เงื่อนไข&&แอบเปิล|,สำหรับสินค้า Apple (iPhone/iPad) ที่คุณลูกค้าสนใจ เรามีเงื่อนไขการรับประกันที่ดีมากนะคะ:\n\n🔸 ตัวเครื่อง: รับประกัน 1 ปีเต็ม\n🔸 แบตเตอรี่: รับประกัน 1 ปี\n🔸 หูฟัง: รับประกัน 1 ปี\n🔸 สายชาร์จ: รับประกัน 1 ปี\n\n⚠️ หมายเหตุ: สินค้า Apple เปลี่ยนไม่ได้ค่ะ (ต้องสมัคร Mobile Care)\n\nหากต้องการข้อมูลเพิ่มเติมหรือมีข้อสงสัย สามารถติดต่อ ICARE ได้ที่ 02-017-7777 ค่ะ\n\nยินดีให้บริการค่ะ! 💙
FAQ01-000002,FAQ01-000002 - Samsung,รับประกัน&&Samsung|รับประกัน&&samsung|warranty&&Samsung|warranty&&samsung,ประกัน&&Samsung|ประกัน&&ซัมซุง|เงื่อนไข&&Samsung|เงื่อนไข&&ซัมซุง|,สำหรับสินค้า Samsung ที่คุณลูกค้าสนใจ เรามีเงื่อนไขการรับประกันที่ยอดเยี่ยมนะคะ:\n\n🔸 ตัวเครื่อง: รับประกัน 1 ปีเต็ม\n🔸 แบตเตอรี่: รับประกัน 1 ปี\n🔸 หูฟัง: รับประกัน 6 เดือน\n🔸 สายชาร์จ: รับประกัน 6 เดือน\n\n✨ พิเศษ! เปลี่ยนสินค้าได้ภายใน 7 วัน จากวันที่ออก Invoice (ต้องมี Invoice จากเจ มาร์ท โมบาย)\n\nหากต้องการข้อมูลเพิ่มเติมหรือมีข้อสงสัย สามารถติดต่อศูนย์ Samsung ได้ที่ 02-689-3232 ค่ะ\n\nยินดีให้บริการค่ะ! 💙
FAQ01-000003,FAQ01-000003 - OPPO,รับประกัน&&OPPO|รับประกัน&&oppo|warranty&&OPPO|warranty&&oppo,ประกัน&&Oppo|ประกัน&&ออปโป|ประกัน&&อ๊อปโป|ประกัน&&อ๊อบโป|ประกัน&&ออปโป้|ประกัน&&อ๊อปโป้|ประกัน&&อ๊อบโป้|เงื่อนไข&&Oppo|เงื่อนไข&&ออปโป|เงื่อนไข&&อ๊อปโป|เงื่อนไข&&อ๊อบโป|เงื่อนไข&&ออปโป้|เงื่อนไข&&อ๊อปโป้|เงื่อนไข&&อ๊อบโป้|,สำหรับสินค้า OPPO ที่คุณลูกค้าสนใจ เรามีเงื่อนไขการรับประกันที่ดีมากนะคะ:\n\n🔸 ตัวเครื่อง: รับประกัน 1 ปีเต็ม\n🔸 แบตเตอรี่: รับประกัน 1 ปี\n🔸 หูฟัง: รับประกัน 6 เดือน\n🔸 สายชาร์จ: รับประกัน 6 เดือน\n\n✨ พิเศษ! เปลี่ยนสินค้าได้ภายใน 7 วัน จากวันที่ออก Invoice (ต้องมี Invoice จากเจ มาร์ท โมบาย)\n\nหากต้องการข้อมูลเพิ่มเติมหรือมีข้อสงสัย สามารถติดต่อศูนย์ OPPO ได้ที่ 092-012-6255 ค่ะ\n\nยินดีให้บริการค่ะ! 💙
FAQ01-000004,FAQ01-000004 - Realme,รับประกัน&&Realme|รับประกัน&&realme|warranty&&Realme|warranty&&realme,ประกัน&&Realme|ประกัน&&เรียวมี|ประกัน&&เลียวมี|ประกัน&&เรียลมี|ประกัน&&เลียลมี|เงื่อนไข&&Realme|เงื่อนไข&&เรียวมี|เงื่อนไข&&เลียวมี|เงื่อนไข&&เรียลมี|เงื่อนไข&&เลียลมี|,สำหรับสินค้า Realme ที่คุณลูกค้าสนใจ เรามีเงื่อนไขการรับประกันที่ดีนะคะ:\n\n🔸 ตัวเครื่อง: รับประกัน 1 ปีเต็ม\n🔸 แบตเตอรี่: รับประกัน 6 เดือน\n🔸 หูฟัง: รับประกัน 6 เดือน\n🔸 สายชาร์จ: รับประกัน 6 เดือน\n\n✨ พิเศษ! เปลี่ยนสินค้าได้ภายใน 7 วัน จากวันที่ออก Invoice (ต้องมี Invoice จากเจ มาร์ท โมบาย)\n\nหากต้องการข้อมูลเพิ่มเติมหรือมีข้อสงสัย สามารถติดต่อศูนย์ Realme ได้ที่ 098-943-2355 ค่ะ\n\nยินดีให้บริการค่ะ! 💙
FAQ01-000005,FAQ01-000005 - Huawei,รับประกัน&&Huawei|รับประกัน&&huawei|warranty&&Huawei|warranty&&huawei,รับประกัน&&Huawei|รับประกัน&&huawei,สำหรับสินค้า Huawei ที่คุณลูกค้าสนใจ เรามีเงื่อนไขการรับประกันที่ยอดเยี่ยมนะคะ:\n\n🔸 ตัวเครื่อง: รับประกัน 1 ปีเต็ม\n🔸 แบตเตอรี่: รับประกัน 1 ปี\n🔸 หูฟัง: รับประกัน 6 เดือน\n🔸 สายชาร์จ: รับประกัน 6 เดือน\n\n✨ พิเศษ! เปลี่ยนสินค้าได้ภายใน 7 วัน จากวันที่ออก Invoice (ต้องมี Invoice จากเจ มาร์ท โมบาย)\n\nหากต้องการข้อมูลเพิ่มเติมหรือมีข้อสงสัย สามารถติดต่อ SYNNEX ได้ที่ 02-553-8899 ค่ะ\n\nยินดีให้บริการค่ะ! 💙
FAQ01-000006,FAQ01-000006 - Xiaomi,รับประกัน&&Xiaomi|รับประกัน&&xiaomi|warranty&&Xiaomi|warranty&&xiaomi,ประกัน&&เสียวหมี่|ประกัน&&เสี่ยวมี้|ประกัน&&เสียวมี้|ประกัน&&เสี่ยวหมี่|ประกัน&&เสี่ยวมี่|ประกัน&&เสียวมี่|เงื่อนไข&&Xiaomi|เงื่อนไข&&Xaiomi|เงื่อนไข&&เสียวหมี่|เงื่อนไข&&เสี่ยวมี้|เงื่อนไข&&เสียวมี้|เงื่อนไข&&เสี่ยวหมี่|เงื่อนไข&&เสี่ยวมี่|เงื่อนไข&&เสียวมี่|,สำหรับสินค้า Xiaomi ที่คุณลูกค้าสนใจ เรามีเงื่อนไขการรับประกันที่ยอดเยี่ยมนะคะ:\n\n🔸 ตัวเครื่อง: รับประกัน 1 ปีเต็ม\n🔸 แบตเตอรี่: รับประกัน 1 ปี\n🔸 หูฟัง: รับประกัน 6 เดือน\n🔸 สายชาร์จ: รับประกัน 6 เดือน\n\n✨ พิเศษ! เปลี่ยนสินค้าได้ภายใน 7 วัน จากวันที่ออก Invoice (ต้องมี Invoice จากเจ มาร์ท โมบาย)\n\nหากต้องการข้อมูลเพิ่มเติมหรือมีข้อสงสัย สามารถติดต่อศูนย์ Xiaomi ได้ที่ 1800-014-171 (โทรฟรี) ค่ะ\n\nยินดีให้บริการค่ะ! 💙
FAQ01-000007,FAQ01-000007 - Vivo,รับประกัน&&Vivo|รับประกัน&&vivo|warranty&&Vivo|warranty&&vivo,รับประกัน&&Vivo|รับประกัน&&vivo,สำหรับสินค้า Vivo ที่คุณลูกค้าสนใจ เรามีเงื่อนไขการรับประกันที่ดีเยี่ยมนะคะ:\n\n🔸 ตัวเครื่อง: รับประกัน 1 ปีเต็ม\n🔸 แบตเตอรี่: รับประกัน 1 ปี\n🔸 หูฟัง: รับประกัน 6 เดือน\n🔸 สายชาร์จ: รับประกัน 6 เดือน\n\n✨ พิเศษ! เปลี่ยนสินค้าได้ภายใน 15 วัน จากวันที่ออก Invoice (ต้องมี Invoice จากเจ มาร์ท โมบาย)\n\nหากต้องการข้อมูลเพิ่มเติมหรือมีข้อสงสัย สามารถติดต่อศูนย์ Vivo ได้ที่ 02-026-0688 ค่ะ\n\nยินดีให้บริการค่ะ! 💙
FAQ01-000008,FAQ01-000008 - Infinix,รับประกัน&&Infinix|รับประกัน&&infinix|warranty&&Infinix|warranty&&infinix,รับประกัน&&Infinix|รับประกัน&&infinix,สำหรับสินค้า Infinix ที่คุณลูกค้าสนใจ เรามีเงื่อนไขการรับประกันที่ดีนะคะ:\n\n🔸 ตัวเครื่อง: รับประกัน 1 ปีเต็ม\n🔸 แบตเตอรี่: รับประกัน 6 เดือน\n🔸 หูฟัง: รับประกัน 6 เดือน\n🔸 สายชาร์จ: รับประกัน 6 เดือน\n\n✨ พิเศษ! เปลี่ยนสินค้าได้ภายใน 15 วัน จากวันที่ออก Invoice (ต้องมี Invoice จากเจ มาร์ท โมบาย)\n\nหากต้องการข้อมูลเพิ่มเติมหรือมีข้อสงสัย สามารถติดต่อ VIVA Technology ได้ที่ 02-117-9651-2 ค่ะ\n\nยินดีให้บริการค่ะ! 💙
FAQ01-000009,FAQ01-000009 - Honor,รับประกัน&&Honor|รับประกัน&&honor|warranty&&Honor|warranty&&honor,รับประกัน&&Honor|รับประกัน&&honor,สำหรับสินค้า Honor ที่คุณลูกค้าสนใจ เรามีเงื่อนไขการรับประกันที่ดีนะคะ:\n\n🔸 ตัวเครื่อง: รับประกัน 1 ปีเต็ม\n🔸 แบตเตอรี่: รับประกัน 6 เดือน\n🔸 หูฟัง: รับประกัน 6 เดือน\n🔸 สายชาร์จ: รับประกัน 6 เดือน\n\n✨ พิเศษ! เปลี่ยนสินค้าได้ภายใน 7 วัน จากวันที่ออก Invoice (ต้องมี Invoice จากเจ มาร์ท โมบาย)\n\nหากต้องการข้อมูลเพิ่มเติมหรือมีข้อสงสัย สามารถติดต่อ SYNNEX ได้ที่ 02-553-8899 ค่ะ\n\nยินดีให้บริการค่ะ! 💙
FAQ01-000010,FAQ01-000010 - Nothing,รับประกัน&&Nothing|รับประกัน&&nothing|warranty&&Nothing|warranty&&nothing,รับประกัน&&Nothing|รับประกัน&&nothing,สำหรับสินค้า Nothing ที่คุณลูกค้าสนใจ เรามีเงื่อนไขการรับประกันที่ยอดเยี่ยมนะคะ:\n\n🔸 ตัวเครื่อง: รับประกัน 1 ปีเต็ม\n🔸 แบตเตอรี่: รับประกัน 1 ปี\n🔸 หูฟัง: รับประกัน 1 ปี\n🔸 สายชาร์จ: รับประกัน 1 ปี\n\n✨ พิเศษ! เปลี่ยนสินค้าได้ภายใน 7 วัน จากวันที่ออก Invoice (ต้องมี Invoice จากเจ มาร์ท โมบาย)\n\nหากต้องการข้อมูลเพิ่มเติมหรือมีข้อสงสัย สามารถติดต่อ KOAN ได้ที่ 02-665-7311-4 ค่ะ\n\nยินดีให้บริการค่ะ! 💙
